Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11387660,108182FE,true,Tx,0,8,0A,71,00,00,00,00,00,00,
11388989,1081827E,true,Rx,0,8,28,70,00,00,00,00,00,00,
11388740,108182FE,true,Tx,0,8,0B,71,00,00,00,00,00,00,
11391324,1081827E,true,Rx,0,8,29,70,00,00,00,00,00,00,
11393726,1081827E,true,Rx,0,8,2A,70,00,00,00,00,00,00,
11395985,1081827E,true,Rx,0,8,2B,70,00,00,00,00,00,00,
11398337,1081827E,true,Rx,0,8,2C,70,00,00,00,00,00,00,
11400712,1081827E,true,Rx,0,8,2D,70,00,00,00,00,00,00,
11402065,108182FE,true,Tx,0,8,0C,71,00,00,00,00,00,00,
11402983,1081827E,true,Rx,0,8,2E,70,00,00,00,00,00,00,
11405310,1081827E,true,Rx,0,8,2F,70,00,00,00,00,00,00,
11407721,1081827E,true,Rx,0,8,20,71,00,00,00,00,00,00,
11409942,1081827E,true,Rx,0,8,01,71,00,00,00,00,C9,B8,
11412262,1081827E,true,Rx,0,8,22,71,00,00,00,00,00,00,
11414602,1081827E,true,Rx,0,8,23,71,00,00,00,00,00,00,
11415741,1081827E,true,Rx,0,8,24,71,00,00,00,00,00,00,
11418231,108182FE,true,Tx,0,8,0D,71,00,00,00,00,00,00,
11419187,1081827E,true,Rx,0,8,25,71,00,00,00,00,00,00,
11421535,1081827E,true,Rx,0,8,26,71,00,00,00,00,00,00,
11423810,1081827E,true,Rx,0,8,27,71,00,00,00,00,00,00,
11426128,1081827E,true,Rx,0,8,28,71,00,00,00,00,00,00,
11428441,1081827E,true,Rx,0,8,29,71,00,00,00,00,00,00,
11430789,1081827E,true,Rx,0,8,2A,71,00,00,00,00,00,00,
11432635,108182FE,true,Tx,0,8,0E,71,00,00,00,00,00,00,
11433071,1081827E,true,Rx,0,8,2B,71,00,00,00,00,00,00,
11435386,1081827E,true,Rx,0,8,2C,71,00,00,00,00,00,00,
11435172,108182FE,true,Tx,0,8,0F,71,00,00,00,00,00,00,
11436735,108182FE,true,Tx,0,8,00,72,00,00,00,00,00,00,
