Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2276662,108182FE,true,Tx,0,8,0A,88,00,00,00,00,00,00,
2278084,1081827E,true,Rx,0,8,24,88,00,00,00,00,00,00,
2278070,108182FE,true,Tx,0,8,0B,88,00,00,00,00,00,00,
2279234,1081827E,true,Rx,0,8,25,88,00,00,00,00,00,00,
2279394,108182FE,true,Tx,0,8,0C,88,00,00,00,00,00,00,
2280628,108182FE,true,Tx,0,8,0D,88,00,00,00,00,00,00,
2281853,108182FE,true,Tx,0,8,0E,88,00,00,00,00,00,00,
2282724,1081827E,true,Rx,0,8,26,88,00,00,00,00,00,00,
2283133,108182FE,true,Tx,0,8,0F,88,00,00,00,00,00,00,
2284325,108182FE,true,Tx,0,8,00,89,00,00,00,00,00,00,
2285070,1081827E,true,Rx,0,8,27,88,00,00,00,00,00,00,
2285555,108182FE,true,Tx,0,8,01,89,00,00,00,00,00,00,
2286693,108182FE,true,Tx,0,8,02,89,00,00,00,00,00,00,
2287414,1081827E,true,Rx,0,8,28,88,00,00,00,00,00,00,
2287898,108182FE,true,Tx,0,8,03,89,00,00,00,00,00,00,
2289025,108182FE,true,Tx,0,8,04,89,00,00,00,00,00,00,
2289705,1081827E,true,Rx,0,8,29,88,00,00,00,00,00,00,
2290190,108182FE,true,Tx,0,8,05,89,00,00,00,00,00,00,
2291285,108182FE,true,Tx,0,8,06,89,00,00,00,00,00,00,
2292026,1081827E,true,Rx,0,8,2A,88,00,00,00,00,00,00,
2292710,108182FE,true,Tx,0,8,07,89,00,00,00,00,00,00,
2294422,1081827E,true,Rx,0,8,2B,88,00,00,00,00,00,00,
2294124,108182FE,true,Tx,0,8,08,89,00,00,00,00,00,00,
2295336,108182FE,true,Tx,0,8,09,89,00,00,00,00,00,00,
2296687,1081827E,true,Rx,0,8,2C,88,00,00,00,00,00,00,
2296616,108182FE,true,Tx,0,8,0A,89,00,00,00,00,00,00,
2297898,108182FE,true,Tx,0,8,0B,89,00,00,00,00,00,00,
2299023,1081827E,true,Rx,0,8,2D,88,00,00,00,00,00,00,
2299225,108182FE,true,Tx,0,8,0C,89,00,00,00,00,00,00,
2300517,108182FE,true,Tx,0,8,0D,89,00,00,00,00,00,00,
2301411,1081827E,true,Rx,0,8,2E,88,00,00,00,00,00,00,
2301718,108182FE,true,Tx,0,8,0E,89,00,00,00,00,00,00,
2303012,108182FE,true,Tx,0,8,0F,89,00,00,00,00,00,00,
2303691,1081827E,true,Rx,0,8,2F,88,00,00,00,00,00,00,
2304577,108182FE,true,Tx,0,8,00,8A,00,00,00,00,00,00,
2306021,1081827E,true,Rx,0,8,20,89,00,00,00,00,00,00,
2305902,108182FE,true,Tx,0,8,01,8A,00,00,00,00,00,00,
2307102,108182FE,true,Tx,0,8,02,8A,00,00,00,00,00,00,
2308416,1081827E,true,Rx,0,8,21,89,00,00,00,00,00,00,
2308263,108182FE,true,Tx,0,8,03,8A,00,00,00,00,00,00,
2309862,108182FE,true,Tx,0,8,04,8A,00,00,00,00,00,00,
2310712,1081827E,true,Rx,0,8,22,89,00,00,00,00,00,00,
2311241,108182FE,true,Tx,0,8,05,8A,00,00,00,00,00,00,
2311834,1081827E,true,Rx,0,8,23,89,00,00,00,00,00,00,
2312394,108182FE,true,Tx,0,8,06,8A,00,00,00,00,00,00,
2313550,108182FE,true,Tx,0,8,07,8A,00,00,00,00,00,00,
2314667,108182FE,true,Tx,0,8,08,8A,00,00,00,00,00,00,
2315295,1081827E,true,Rx,0,8,24,89,00,00,00,00,00,00,
2315802,108182FE,true,Tx,0,8,09,8A,00,00,00,00,00,00,
2316877,108182FE,true,Tx,0,8,0A,8A,00,00,00,00,00,00,
2317608,1081827E,true,Rx,0,8,25,89,00,00,00,00,00,00,
2318026,108182FE,true,Tx,0,8,0B,8A,00,00,00,00,00,00,
2319167,108182FE,true,Tx,0,8,0C,8A,00,00,00,00,00,00,
